title,overview__Firm type,overview__Global HQ,thesis__Funding stages,thesis__Check size,min,max,thesis__Target countries,title_links_website,title_links_linkedin,title_links_twitter,thesis__Funding requirements,overview__Who we are,Contact_email
Magnus Capital,VC,"New York, USA"," Pre-seed , Seed ",,,,Global,https://magnuscapital.com,,https://twitter.com/magnus_capital,"Investment focus is exclusively on the digital assets and blockchain market, particularly early-stage projects.",,hello@magnuscapital.com
1kx,VC,Distributed,"Pre-Seed, Seed, Series A",$250k - $5M,250000,5000000,Global,https://1kx.network,https://www.linkedin.com/company/1kxnetwork,https://twitter.com/1kxnetwork,"Token networks, community-first projects.",,
Collab+Currency,VC,"Eugene, Oregon, USA","Pre-Seed, Seed",$100k - $3M,100000,3000000,Global,https://collabcurrency.com,https://www.linkedin.com/company/collab-currency,https://twitter.com/Collab_Currency,Projects at the intersection of crypto and culture.,,info@collabcurrency.com
Variant,VC,"New York, NY, USA / Distributed","Pre-Seed, Seed, Series A",$1M - $5M,1000000,5000000,Global,https://variant.fund,,https://twitter.com/variantfund,Focus on user ownership and alignment.,,
Velo Partners,VC,"London, England, United Kingdom","Pre-Seed, Seed, Series A",N/A,,,Global,https://www.velopartners.co.uk/,https://www.linkedin.com/company/velo-partners/about/,,"Velo typically invests in Series A or early growth stage rounds. Our ideal investment candidates demonstrate strong early traction and a clear understanding of their unit economics and growth trajectory. We also work in association with a gaming accelerator called RNG FOUNDRY for earlier stage investment opportunities. Once invested, we typically follow our rights for later investment rounds and work with management to define good corporate governance and reporting. We will opportunistically evaluate later stage investments on an ad-hoc basis.","Velo Partners invests and manages a portfolio spanning the global gaming and gambling industry across mobile, online, land-based, real-money, social, B2B, and B2C assets.",info@velopartners.co.uk
Hiro Capital,VC,Luxembourg,"Seed, Series A, Series B",N/A,,,"United Kingdom, Europe, North America",https://hiro.capital/,https://www.linkedin.com/company/hirocapital/,https://x.com/hirocapital,"We Invest in the innovators building the future of Games, Esports, Digital Sports","Hiro Capital invests in UK, European and North American innovators in Videogames, Esports, Streaming and Digital Sports. We invest in Metaverse technology founders and Game creators who are building the future. We believe that Games and Games technologies will be at the heart of next generation human societies. For us, play is deep. We are battle-scarred entrepreneurs who back next generation entrepreneurs. We have founded games and technology disruptors worth billions of dollars. We have led companies from startups to IPO in London and New York. We are gamers and sports nerds. We love games, stories, characters and deep tech.",
Griffin Gaming Partners,VC,"1501 Colorado Avenue, Suite B
Santa Monica, CA 90404","Pre-Seed, Seed, Series A, Series B, Series C, Growth",N/A,,,Global,https://griffingp.com/,https://www.linkedin.com/company/griffin-gaming-partners/,https://x.com/Griffin_GP,"Griffin Gaming Partners is a leading venture capital firm singularly focused on investing in the global gaming market. We are founder-friendly, care deeply for our industry and bring decades of investment, advisory and operational experience.","Griffin Gaming Partners is a leading venture capital firm singularly focused on investing in the global gaming market. We are founder-friendly, care deeply for our industry and bring decades of investment, advisory and operational experience.",
Andreessen Horowitz / a16z,VC,"Menlo Park, California, United States","Pre-Seed, Seed, Series A, Series B, Growth",$1M - $200M,1000000,200000000,Global,https://a16z.com/,https://www.linkedin.com/company/a16z/,https://x.com/a16z,"Historically, new models of computing have tended to emerge every 10–15 years: mainframes in the 60s, PCs in the late 70s, the internet in the early 90s, and smartphones in the late 2000s. Each computing model enabled new classes of applications that built on the unique strengths of the platform. For example, smartphones were the first truly personal computers with built-in sensors like GPS and high-resolution cameras. Applications like Instagram, Snapchat, and Uber/Lyft took advantage of these unique capabilities and are now used by billions of people.","Andreessen Horowitz was established in June 2009 by entrepreneurs and engineers Marc Andreessen and Ben Horowitz, based on their vision for a new, modern VC firm designed to support today’s entrepreneurs. Andreessen and Horowitz have a track record of investing in, building and scaling highly successful businesses.",
March Capital Partners,VC,"Santa Monica, California, United States","Series B, Series C, Growth",$10M - $30M,10000000,30000000,Global,https://marchcp.com/,https://www.linkedin.com/company/march-capital/,https://x.com/MarchCPs,"March Capital is a top-tier venture capital & growth equity firm headquartered in Santa Monica, California and investing globally since 2014. We identify entrepreneurs with a provocative vision to lead the future and later-stage companies poised for hyper-growth, then dare to go all in by leading rounds with deep conviction and concentration risk.","March Capital Partners invest in breakthrough technology companies in Silicon Beach, Silicon Valley, and the world.",
Northzone,VC,"Stockholm, Stockholms Lan, Sweden","Seed, Growth",N/A,,,"United States, Europe",https://northzone.com/,https://www.linkedin.com/company/northzone/,https://x.com/northzonevc,We’re a multi-stage venture capital fund partnering with founders from Seed to Growth. Across Europe and the US.,We’re a multi-stage venture capital fund partnering with founders from Seed to Growth. Across Europe and the US.,
Bessemer Venture Partners,VC,"San Francisco, California, United States","Pre-Seed, Seed, Series A, Series B, Growth",$100K - $50M,100000,50000000,"United States, Bay Area (US)",https://www.bvp.com/,https://www.linkedin.com/company/bessemer-venture-partners/,https://x.com/bessemervp,"Bessemer Venture Partners is the world’s most experienced early-stage venture capital firm. With a portfolio of more than 200 companies, Bessemer helps visionary entrepreneurs lay strong foundations to create companies that matter, and supports them through every stage of their growth. The firm has backed more than 120 IPOs, including Shopify, Yelp, LinkedIn, Skype, LifeLock, Twilio, SendGrid, DocuSign, Fiverr, Wix, and MindBody. Bessemer’s 16 investing partners operate from offices in Silicon Valley, San Francisco, New York City, Boston, Israel, and India. Follow @BessemerVP and learn more at bvp.com.","Bessemer Venture Partners is the world’s most experienced early-stage venture capital firm. With a portfolio of more than 200 companies, Bessemer helps visionary entrepreneurs lay strong foundations to create companies that matter, and supports them through every stage of their growth. The firm has backed more than 120 IPOs, including Shopify, Yelp, LinkedIn, Skype, LifeLock, Twilio, SendGrid, DocuSign, Fiverr, Wix, and MindBody. Bessemer’s 16 investing partners operate from offices in Silicon Valley, San Francisco, New York City, Boston, Israel, and India. Follow @BessemerVP and learn more at bvp.com.",
Makers Fund,VC,Global,Series A,< $30M,0,30000000,North America,https://www.makersfund.com/,https://www.linkedin.com/company/makersfund/,https://x.com/MakersFundVC,hacked,"A venture capital fund created to support founders, combining deep industry experience with multi-stage investment across Seed to Series B.",
Atomico,VC,"London, England, United Kingdom","Series A, Series B, Series C",N/A,,,"United States, Europe",https://atomico.com/,https://www.linkedin.com/company/atomico/,https://x.com/atomico,"Atomico is a risk capital group. They are entrepreneurs with global perspectives who invest their own capital in passionate entrepreneurs with powerful ideas. Through their experience building Skype, Joost and Kazaa, they understand the value of game-changing business models and have created a worldwide ecosystem to help accelerate the growth of the companies in which they invest.","Atomico is a risk capital group. They are entrepreneurs with global perspectives who invest their own capital in passionate entrepreneurs with powerful ideas. Through their experience building Skype, Joost and Kazaa, they understand the value of game-changing business models and have created a worldwide ecosystem to help accelerate the growth of the companies in which they invest.",
The Games Fund,VC,"Los Angeles, California, United States","Pre-Seed, Seed",N/A,,,Global,https://gamesfund.vc/,https://www.linkedin.com/company/thegamesfund/,,"TGF is an early-stage VC fund founded by video game industry veterans.

We invest in future leaders: game developers, gaming technologies, and services.

We share best practices and offer our experience and personal touch.
","TGF is an early-stage VC fund founded by video game industry veterans.

We invest in future leaders: game developers, gaming technologies, and services.

We share best practices and offer our experience and personal touch.
",
Sharp Alpha Advisors,VC,"10014 New York, New York, New York, US","2. Prototype, 3. Early Revenue, 4. Scaling",$100k to $1M,100000,1000000,"Canada, USA",https://www.sharpalphaadvisors.com/,https://www.linkedin.com/company/sharp-alpha-advisors/,,"We invest in sports, gaming, and entertainment.",N/A,
Drive by DraftKings,VC,"02116 Boston, MA, Massachusetts, US","2. Prototype, 3. Early Revenue, 4. Scaling, 5. Growth",$100k to $5M,100000,5000000,"Israel, USA",https://www.drivebydraftkings.com/,https://www.linkedin.com/company/drive-by-draftkings/,,We invest in companies operating in sports tech and entertainment.,We are a multi-stage venture capital firm.,
Hands of Midas,Family office,"Los Angeles, California, United States",3. Early Revenue,N/A,,,USA,https://www.handofmidas.la/,,,We invest in gaming.,"We primarily seek investment in video games, game commerce, and game technology.",
Verance Capital,VC,"New York, NY, New York, US","4. Scaling, 3. Early Revenue",$100k to $5M,100000,5000000,"UK, USA",https://verancecap.com/,https://www.linkedin.com/company/verance-capital,,"We invest in sports, media, and entertainment.",We provide early and growth-stage capital across these sectors.,
RSE Ventures,"Incubator, Accelerator","423 West 55th Street, 10019 New York, NY, New York, US","3. Early Revenue, 4. Scaling, 5. Growth",$500k to $25M,500000,25000000,"Canada, USA",http://rseventures.com,http://www.linkedin.com/company/rse-ventures,,"We invest in sports, media and entertainment, marketing, food and beverage, lifestyle, and technology.",We are a private investment firm dedicated to these sectors.,
vgames,VC,"Tel Aviv, Tel Aviv, IL","2. Prototype, 3. Early Revenue, 4. Scaling",$100k to $5M,100000,5000000,"Finland, Israel, Turkey, UK, USA",https://www.vgames.vc/,https://www.linkedin.com/company/vgamesil/,,We invest in gaming and videogame companies.,We are a venture fund dedicated to supporting game entrepreneurs.,
Red Pin Capital,VC,"London, UK","4. Scaling, 5. Growth, 6. Pre-IPO",$500k to $10M,500000,10000000,"USA, Bahamas, Canada, Denmark, Hong Kong, India, Netherlands, Spain, UAE, UK, Switzerland, Nigeria, South Africa, Sweden, Germany, France, Italy, Japan, Monaco, Luxembourg, Vietnam, Malaysia, Indonesia, Thailand",https://www.redpincapital.com,https://www.linkedin.com/company/redpincapital/,,"We invest growth equity through to IPO, backing visionary entrepreneurs through an engaged capital base, strategic relationships, and proprietary insights from some of the world’s most remarkable people. A huge thematic focus for us is to solve the capital gap for Early-Stage VCs and their follow-on rounds. We partner with Early-Stage VCs to double down in their leading companies. Small, specialist VCs are the first funders of 80% of unicorns and tech IPOs, but 90% of the time, these first funders lack the capital to follow on in their growth stage winners. We target venture returns at lower risk and duration. Our focus spans across, DeepTech, FinTech, IoT, SaaS, Consumer Goods and Brands, Media, Sport, AI, Blockchain and Gaming.","RED PIN CAPITAL is a mid-market investment firm that is dedicated to innovative investing, in global private markets. ​ A focus spanning, Real Estate, Media and Entertainment, Climate and Technology, we partner with founders and management teams who are **pioneering** and **transforming new technologies** and **solutions** to become **market leaders**. ​ Our approach is to form a deep understanding of **mega trends shaping the future**.",
Roosh Ventures,VC,"London, GB","2. Prototype, 3. Early Revenue, 4. Scaling, 5. Growth",$50k to $5M,50000,5000000,"Finland, France, Germany, India, Spain, USA",http://Roosh.VC,https://www.linkedin.com/company/rooshvc,,"We invest in early stage companies across multiple sectors including artificial intelligence, fintech, and gaming.",We are an entrepreneurs-led venture capital firm.,
SurgeDAO,Angel network,"Noida, Delhi, India","1. Idea or Patent, 2. Prototype",$10k to $50k,10000,50000,India,,https://www.linkedin.com/company/surge-strategies,https://twitter.com/surgestrategies,"We invest in Pre-Seed rounds and Early-Stage companies that operate in the web3 space, and more specifically, operating under the Decentralized Finance (DeFi) umbrella. We're looking at deal flow within the $3-5Mil Valuation Range. Sectors we're focussed on: 1) Bitcoin ecosystem 2) AI narrative 3) AI + Decentralized storage 4) DePins 5) DVT 6) Modular Thesis Although this is not set in stone - we're open to looking at and evaluating deals across just any sector or make a narrative play, if the project and the team is solid enough.","We are a DAO, looking to invest into top tier DeFi Protocols.",
MANTIS Venture Capital,VC,"90292 Los Angeles, CA, California, US","3. Early Revenue, 4. Scaling, 5. Growth",$100k to $1M,100000,1000000,"Australia, UK, Brazil, Canada, Colombia, India, Israel, Mexico, Pakistan, USA",https://www.mantisvc.com/,https://www.linkedin.com/company/mantis-venture-capital/?viewAsMember=true,,"We invest in early-stage consumer technology, media, entertainment, and fintech companies.",We are an early-stage fund supporting innovative businesses in key consumer-facing sectors.,
Yolo Investments,VC,"Suur-Patarei 13, Tallinn, Estonia","4. Scaling, 5. Growth",$2M to $5M,2000000,5000000,USA,https://yolo.io/,https://ee.linkedin.com/company/yolo-investments ,,We invest in the gaming industry and its supporting ecosystem. ᐧOperators ᐧSportsbooks ᐧSuppliers ᐧPayment providers ᐧCrypto on-off ramps ᐧAffiliates ᐧCompliance platforms,"Yolo Investments is a venture capital firm focused on the fast-growing igaming and fintech spaces, as well as their supportive ecosystems.",
Hellens Rock Capital,VC,"Strada Haga 12, Bucharest, 011777, Romania","3. Early Revenue, 4. Scaling",$100k to $1M,100000,1000000,"Romania, Hungary, Serbia, Bulgaria, Czech Republic, Slovakia, Croatia, Switzerland, Greece, Germany, France, Netherlands, Austria, Belgium, Italy, Spain, Portugal, Moldova, Poland, Slovenia, Denmark, Sweden, Norway",https://www.hellensrock.com/,https://www.linkedin.com/company/hellensrock/,,"We invest in the following verticals: Fintech, Media & Entertainment, Health & Well-being and Web3.","We are a European early stage VC investor backing unconventional founders who are making significant strides in health & wellness, finance, education and entertainment, and who are building organisations that have a meaningful and lasting impact on lives and communities.",
Transcend Fund,VC,"San Francisco, California, United States","3. Early Revenue, 4. Scaling",$200k to $5M,200000,5000000,"Belgium, Finland, Philippines, Slovenia, UK, USA",https://www.transcend.fund/,https://www.linkedin.com/company/transcend-fund/,,We invest in gaming and digital entertainment companies.,We are an early-stage venture fund.,
Pressplay Capital,VC,"Dubai, AE","2. Prototype, 3. Early Revenue, 4. Scaling",$100k to $500k,100000,500000,"UAE, India, USA",https://pressplaycapital.com/,https://www.linkedin.com/company/pressplay-capital/,,"Pressplay Capital is betting on the post-COVID, AI-driven explosion of content consumption and creation. With attention becoming the most valuable currency, we back startups building infrastructure, platforms, and monetization models across Gaming, Ad Tech, Media-Tech, OTT, and Sports-Tech. We invest in companies with early traction, clear monetization paths, and global scalability—often co-investing with regional VCs to strengthen local execution and global growth","Pressplay Capital is a $10M seed-stage venture fund investing in early-stage startups transforming the attention economy across streaming, gaming, media-tech, ad-tech, and sports-tech in India and the Middle East.",
Powerhouse Capital,VC,"90401 Los Angeles, CA, California, US","3. Early Revenue, 4. Scaling, 5. Growth, 6. Pre-IPO",$100k to $5M,100000,5000000,"Australia, Germany, Israel, USA",https://www.powerhouse.vc/,https://www.linkedin.com/company/19139138,,"We invest in technology, media, entertainment, and interactive gaming opportunities.",We are a Los Angeles-based venture fund.,
Game Seer Venture Partners,VC,"63739 Aschaffenburg, Bayern, DE",3. Early Revenue,$100k to $5M,100000,5000000,"Canada, Cyprus, Italy, Spain",http://www.game-seer.com,https://www.linkedin.com/company/game-seer-venture-partners/,,"We invest in the gaming industry, including console games, PC games, and video streaming.",We are a group of enthusiasts actively supporting the growth and innovation within the sector.,
node.vc,VC,"Posthuset Vasagatan 28, Stockholm, Sweden","3. Early Revenue, 5. Growth",$500k to $2.5M,500000,2500000,"Sweden, Norway, Finland, Denmark, Latvia, Lithuania, Estonia",https://www.node.vc/,https://www.linkedin.com/company/nodevc,,"We invest in companies driven by disruptive forces shaping technology and society. Key focus areas include new experiences (gaming, virtual worlds, digital art), smarter workplaces (remote work, AI-driven hiring, digital collaboration), and platform technologies (FinTech, IoT, cloud infrastructure, machine intelligence). node.vc seeks to back visionary founders leveraging innovation to redefine industries and everyday life.",node.vc is an early-stage venture capital firm investing in groundbreaking technology start-ups in the Nordics and Baltics.,
GameFounders,"Incubator, Accelerator","Tallinn, Tallinn, EE",3. Early Revenue,N/A,,,"Brazil, China, Colombia, Egypt, Estonia, Finland, Germany, India, Indonesia, Italy, Lithuania, Malaysia, Mexico, Philippines, Russia, Slovenia, South Korea, Spain, Netherlands, Ukraine, USA, Vietnam",http://www.gamefounders.com,https://www.linkedin.com/company/2513093,,"We invest in gaming startups, providing seed capital.",We are a European business incubator.,
Alignment Growth,VC,"810 7th Ave, 10019 New York, New York, New York, US","5. Growth, 3. Early Revenue",N/A,,,"UK, USA",https://alignmentgrowth.com,https://www.linkedin.com/company/alignment-growth,,"We invest in growth-stage companies within consumer, media, entertainment, gaming, and technology sectors.",We are an investment manager specializing in these industry sectors.,
Last Mile Partners,VC,,Growth,,,,,https://www.lastmilepartners.co,https://www.linkedin.com/company/last-mile-partners/,,"Last Mile Partners is a $200M game investment and publishing firm focused on premium PC and console titles. We provide non-dilutive, revenue-share financing to teams that are close to launch and need capital, go-to-market execution, and distribution expertise to reach their audience.

We specialize in the last mile before release and scale, partnering with developers 6–12 months from launch to optimize for success. Our model is founder-friendly, data-driven, and built around aligning incentives, not taking control.

Our initial ticket size ranges from $250k to $5M with possibility of follow on capital.",,
Pixcapital,VC,,"Pre-Seed, Seed, Series A",,,,,https://pixcapital.vc,https://fr.linkedin.com/company/pixcapital,,"Invests in early stage game development, publishing and game tech.",,
Techne Infiniti Ventures,VC,"20370 TOWN CENTER LANE, SUITE 150, CUPERTINO, CALIFORNIA 95014","1. Idea or Patent, 2. Prototype, 3. Early Revenue",$50k to $1M,50000,1000000,"USA, UK, Netherlands, France, Belgium, Germany, Austria, Switzerland, Italy, Spain, Portugal, Australia, New Zealand, Canada, Mexico, Brazil, Argentina, Costa Rica, Denmark, Sweden, Norway, Finland, Poland, Ukraine, Ireland, Iceland, Bahrain, Chile, Colombia, Croatia, Cyprus, Czech Republic, Ecuador, Egypt, El Salvador, Estonia, Algeria, Greece, Guatemala, Hong Kong, Hungary, India, Indonesia, Israel, Japan, Jordan, Kenya, Kuwait, Kyrgyzstan, Laos, Latvia, Lebanon, Liechtenstein, Lithuania, Luxembourg, Malaysia, Mauritius, Moldova, Monaco, Montenegro, Morocco, Mozambique, Nepal, Nigeria, North Macedonia, Oman, Pakistan, Paraguay, Peru, Philippines, Panama, Qatar, Romania, Sant Kitts and Nevis, Sant Lucia, Saudi Arabia, Serbia, Senegal, Singapore, Saint Vincent and the Grenadines, Samoa, San Marino, Sierra Leone, Slovakia, Slovenia, Seychelles, Taiwan, Tajikistan, Tanzania, Thailand, Trinidad and Tobago, Turkey, UAE, Uzbekistan, Vanuatu, Bolivia, Malawi, Zambia, Zimbabwe",https://techne.vc,https://www.linkedin.com/company/techne-infiniti-ventures/,,"We invest in hospitality technology (accommodation, food & beverage, travel & tourism, recreation, entertainment and wellness). We are looking for great co-founders who have an unfair advantage or unique insights on the problem. We also look for IP defensibility.","We are a leading early-stage venture fund focused exclusively on hospitality technology. We have three pillars: venture studio, accelerator and direct investing.",
Phoenix Capital Ventures (PCV),VC,"3343 Peachtree Rd NE, 30326 Atlanta, Georgia, Georgia, US","2. Prototype, 3. Early Revenue",N/A,,,USA,https://pcv.fund,https://www.linkedin.com/company/phoenix-capital-ventures-llc/?viewAsMember=true,,"We invest in early-stage companies across sports, gaming, human performance, and media sectors.",We are a venture firm that partners with emerging companies.,
Rockaway Ventures,VC,"Prague, Hlavni mesto Praha, Czech Republic","3. Early Revenue, 4. Scaling",N/A,,,"Czech Republic, Estonia, Germany, Greece, UK, USA",https://rockawayventures.com,https://www.linkedin.com/company/rockaway/mycompany/verification/,,"We invest in ESG compliant startups that digitize traditional industries, with a focus on fintech, food and beverage, healthcare, media, entertainment, retail, SaaS, supply chain, telecommunications, and travel.",We are a fund operating in the CEE and DACH regions.,
Emfarsis,VC,"Manila, NCR, PH",3. Early Revenue,N/A,,,"Spain, Taiwan",https://emfarsis.com,https://www.linkedin.com/company/15872376,,"We invest in the blockchain industry, cryptocurrency, fintech, and gaming.",We are an investment firm with a specific focus on decentralized technologies and digital entertainment.,
Heliad Equity Partners,PE fund,"Ulmenstraße 37-39, 60325 Frankfurt am Main, DE","3. Early Revenue, 4. Scaling, 5. Growth",N/A,,,"Austria, Germany, Switzerland, Netherlands, USA",http://www.heliad.com,https://www.linkedin.com/company/heliad-equity-partners-gmbh-&-co-kgaa?trk=biz-companies-cym,,"We invest in growth equity opportunities across fintech, internet, life science, media, and entertainment.","We are a growth equity company active in various regions and stages, including pre-, at-, and post-IPO.",
twozero Ventures,VC,"istanbul, TR","2. Prototype, 3. Early Revenue, 4. Scaling",N/A,,,"Turkey, USA",https://www.twozero.vc/,https://www.linkedin.com/company/two-zero-ventures/,,"We invest in sports, media, and entertainment companies.",We are a venture firm focused on emerging businesses.,
Animoca Brands,VC,"39 Yip Kan St, Southern District, HK","2. Prototype, 3. Early Revenue, 4. Scaling, 5. Growth",N/A,,,"Argentina, Australia, Canada, Denmark, France, Germany, Hong Kong, India, Ireland, Israel, Japan, Kenya, Liechtenstein, Mexico, Russia, Saudi Arabia, Singapore, Slovenia, South Africa, South Korea, Switzerland, Taiwan, Thailand, Netherlands, Trinidad and Tobago, UK, USA, Vietnam",https://www.animocabrands.com,https://www.linkedin.com/company/animoca-brands,,"We invest in metaverse and gaming companies, focusing on digital property rights enabled by NFTs.",We are a company specializing in digital property rights within the metaverse and gaming industries.,
Colopl Next,Corporate VC,"Tokyo, Tokyo, Japan","2. Prototype, 3. Early Revenue, 4. Scaling, 5. Growth",N/A,,,"Bangladesh, Canada, Japan, Poland, South Korea, Taiwan, Thailand, UK, USA",https://coloplnext.co.jp/en,https://www.linkedin.com/company/coloplnext,,"We invest in startups specializing in VR/AR, entertainment, emerging technologies, and internet businesses.",We support the growth of these ventures.,
MVST:MG,"Incubator, Accelerator","77, Strovolou, 2018,, 01023 Nicossia, Nicossia, Cyprus, CY","2. Prototype, 3. Early Revenue",N/A,,,"Australia, Austria, Israel, Singapore, Spain, Switzerland, Ukraine, USA",https://www.MVSTmg.com,https://www.linkedin.com/company/mvst-mg,,"We invest in tech startups focused on advertising, artificial intelligence, augmented reality, blockchain, e-commerce, fintech, gaming, information technology, software, and virtual reality.",We are an angel investor primarily targeting pre-seed and seed stage companies.,
Ludus Ventures,VC,"Zambaklı Sokak, 34330 Besiktas, Istanbul, Istanbul, TR","2. Prototype, 3. Early Revenue",N/A,,,"Finland, Singapore, Turkey, USA",https://www.ludus.vc/,https://www.linkedin.com/company/ludusventures/,,We invest in best-in-class gaming startups.,"We identify, invest in, and support promising ventures.",
COINS GROUP,"Incubator, Accelerator","00000 Hong Kong, Hong Kong, HK",3. Early Revenue,N/A,,,"Czech Republic, Switzerland, UK, USA, Vietnam",http://coinsgroup.io/,https://www.linkedin.com/company/coinsmarketing,,"We invest in blockchain ventures, including cryptocurrency, fintech, and gaming.",We provide global capital and marketing resources.,
Elevation Partners,PE fund,"New York, New York, United States","3. Early Revenue, 4. Scaling, 5. Growth, 6. Pre-IPO",N/A,,,"Canada, USA",http://www.elevation.com,https://www.linkedin.com/company/elevation-partners/,,"We invest in large-scale media, entertainment, and technology businesses.",We are a private equity firm.,
GEM Capital,PE fund,"Paphos, CY","2. Prototype, 3. Early Revenue, 4. Scaling",N/A,,,"Belarus, Cyprus, Israel, USA",https://gem.capital,https://www.linkedin.com/company/gem-capital,,We invest in gaming companies and creative entrepreneurs in the interactive entertainment sector.,We are a leading venture capital investor supporting innovative ventures.,
Boost Capital Partners,VC,,"Pre-Seed, Seed",,,,,https://boostcp.vc,,,Crafting new experiences in media and gaming,,
Netsolid Investments,PE fund,"Tallinn, EE","2. Prototype, 3. Early Revenue",N/A,,,"Estonia, Finland, Spain, Ukraine, USA",https://netsolidinvest.com/,https://www.linkedin.com/company/netsolidinvestments,,"We invest in advertising, gambling, gaming, marketing, SEO.",We provide support for enhancing online visibility and engagement.,
